,년도,시도,초등학생인원수,빈집수,전출인구,총인구,예금은행대출금액,예금액,산부인과의원수
52,2016,서울특별시,436121,94668.0,1655859,9930616,544592.1,628071.1,388
53,2016,경상남도,185325,98899.0,410180,3373871,72333.0,9587.6,64
54,2016,부산광역시,151207,85333.0,480407,3498529,99122.7,79929.2,70
55,2016,대구광역시,125541,36932.0,337488,2484557,66966.8,47164.2,87
56,2016,인천광역시,155590,52941.0,435869,2943069,73804.8,40274.6,65
57,2016,전라북도,97895,73696.0,252607,1864791,27330.1,20112.5,52
58,2016,경상북도,127825,107862.0,318803,2700398,37300.0,42454.8,56
59,2016,광주광역시,89095,29127.0,221074,1469214,30354.2,24067.4,39
60,2016,충청남도,115309,80152.0,271446,2096727,33828.8,21020.7,46
61,2016,전라남도,92981,102257.0,237337,1903914,20060.0,30487.5,22
62,2016,울산광역시,65629,20965.0,155812,1172304,25364.2,16080.5,32
63,2016,충청북도,84052,56014.0,197668,1591625,22070.0,22611.6,47
64,2016,대전광역시,85939,26238.0,229883,1514370,29590.8,28605.4,47
65,2016,강원도,76772,55709.0,221592,1550806,16415.4,17522.2,29
66,2016,제주특별자치도,38272,21469.0,92193,641597,12548.2,5708.1,21
67,2016,세종특별자치시,17910,10115.0,35236,243048,6747.6,184606.3,4
68,2017,경기도,733941,194981.0,1772162,12873895,326152.3,23775.3,269
69,2017,서울특별시,428333,93343.0,1571423,9857426,569688.0,664687.0,388
70,2017,경상남도,186619,120548.0,409200,3380404,74494.8,9896.2,64
71,2017,부산광역시,150863,94737.0,467471,3470653,106819.1,81765.8,65
72,2017,대구광역시,124708,44180.0,333118,2475231,71095.8,48356.4,86
73,2017,인천광역시,156470,57489.0,411135,2948542,80147.3,43007.6,62
74,2017,전라북도,97383,77631.0,239253,1854607,28323.0,20753.7,50
75,2017,경상북도,127642,126480.0,316642,2691706,39225.6,43283.8,55
76,2017,광주광역시,88189,33569.0,216256,1463770,31038.5,24235.1,38
77,2017,충청남도,116963,92110.0,269337,2116770,35278.9,22690.2,43
78,2017,전라남도,93233,109799.0,230551,1896424,21010.3,30995.6,21
79,2017,울산광역시,66016,26867.0,147116,1165132,26949.2,15899.4,32
80,2017,충청북도,84240,60881.0,194915,1594432,23178.8,23823.3,45
81,2017,대전광역시,84240,26994.0,227624,1502227,31050.7,30601.9,46
82,2017,강원도,75722,62109.0,209618,1550142,17587.6,18707.2,30
83,2017,제주특별자치도,38901,28629.0,91022,657083,14707.9,7735.5,21
84,2017,세종특별자치시,20764,14360.0,47383,280100,7585.8,195344.5,4
85,2018,경기도,752499,249635.0,1871621,13077153,350553.6,23680.4,268
86,2018,서울특별시,424800,93867.0,1549937,9765623,607389.3,728762.8,394
87,2018,경상남도,191016,131870.0,395524,3373988,76526.6,9305.7,59
88,2018,부산광역시,152775,99458.0,442854,3441453,113616.7,80983.6,65
89,2018,대구광역시,125160,40861.0,335400,2461769,74462.0,48437.4,87
90,2018,인천광역시,158871,64927.0,433706,2954642,85660.7,44338.0,59
91,2018,전라북도,97606,86732.0,257097,1836832,29107.6,22167.1,50
92,2018,경상북도,129290,136805.0,318671,2676831,40939.9,43841.2,54
93,2018,광주광역시,88622,37220.0,225108,1459336,33475.5,24104.4,37
94,2018,충청남도,120152,106443.0,282221,2126282,36232.6,27566.9,42
95,2018,전라남도,94134,118648.0,232414,1882970,22228.8,32334.2,19
96,2018,울산광역시,67290,29265.0,140576,1155623,27620.7,15886.4,32
97,2018,충청북도,85344,74757.0,213737,1599252,25028.7,24605.0,41
98,2018,대전광역시,83453,29900.0,227632,1489936,33252.0,30908.9,45
99,2018,강원도,75412,72384.0,220252,1543052,19200.5,19412.9,31
100,2018,제주특별자치도,40096,32603.0,95349,667191,16633.8,11864.7,22
101,2018,세종특별자치시,24865,14242.0,55000,314126,8351.6,206787.8,6
102,2019,경기도,769744,278815.0,1806296,13239666,376464.3,25501.3,264
103,2019,서울특별시,422293,93402.0,1476081,9729107,641634.1,791160.6,391
104,2019,경상남도,194606,147173.0,405561,3362553,78235.3,9847.4,58
105,2019,부산광역시,155589,109651.0,435058,3413841,120127.2,90142.9,67
106,2019,대구광역시,126122,40721.0,336092,2438031,80062.2,52113.4,91
107,2019,인천광역시,160853,66695.0,422351,2957026,92157.9,46757.3,59
108,2019,전라북도,97731,91138.0,241523,1818917,30488.3,23693.8,50
109,2019,경상북도,131374,143560.0,311082,2665836,43118.9,47388.8,54
110,2019,광주광역시,88990,39625.0,221005,1456468,36888.6,25261.5,35
111,2019,충청남도,122424,107609.0,259584,2123709,37360.9,36495.5,42
112,2019,전라남도,94952,121767.0,233271,1868745,23785.6,34777.2,19
113,2019,울산광역시,68512,33114.0,152228,1148019,28495.1,16646.3,33
114,2019,충청북도,86709,77520.0,208831,1600007,26399.9,25555.5,40
115,2019,대전광역시,82743,29640.0,228766,1474870,35318.1,33905.4,46
116,2019,강원도,75617,84382.0,215965,1541502,20991.4,21582.6,32
117,2019,제주특별자치도,41068,36566.0,92030,670989,18281.1,11646.8,23
118,2019,세종특별자치시,27892,16437.0,58674,340575,8803.9,223043.4,7
119,2020,경기도,761731,272358.0,1984199,13427014,419831.8,24939.5,265
120,2020,서울특별시,409536,96629.0,1642977,9668465,726164.1,898371.8,385
121,2020,경상남도,190849,150982.0,419997,3340216,82937.6,10308.9,59
122,2020,부산광역시,153527,113410.0,506176,3391946,132190.5,101058.8,67
123,2020,대구광역시,122587,39069.0,364083,2418346,88740.3,57156.5,87
124,2020,인천광역시,156928,65861.0,460304,2942828,102078.5,51948.8,60
125,2020,전라북도,94661,95412.0,257577,1804104,33132.0,25070.1,48
126,2020,경상북도,129079,139770.0,334679,2639422,47189.5,51352.9,53
127,2020,광주광역시,86419,41585.0,232246,1450062,42161.3,28573.7,36
128,2020,충청남도,120115,106430.0,286386,2121029,41097.0,38260.0,43
129,2020,전라남도,92405,122103.0,248770,1851549,26806.6,36756.8,18
130,2020,울산광역시,67397,30241.0,149696,1136017,30498.2,18231.6,34
131,2020,충청북도,85135,76877.0,226441,1600837,28669.1,27669.5,40
132,2020,대전광역시,79807,26983.0,243418,1463882,39341.3,38725.4,44
133,2020,강원도,73478,84106.0,217897,1542840,22831.4,23634.2,32
134,2020,제주특별자치도,40575,35105.0,94736,674635,20182.3,14025.4,23
135,2020,세종특별자치시,29487,14385.0,65909,355831,9864.7,251734.3,7
